"","r","k","nodes","pareto","count_pareto","p_pareto","p_count_pareto","edges","p_edges","mean_in","mean_out","max_in","max_out","mean_pareto_in","max_pareto_in","pareto_num_path","pareto_mean_path"
"1",-0.4,1,342,29,11663,1,0.5499,1091,3.1901,3.1901,3.1901,26,14,10.3103,26,2117,5.2078
"2",-0.4,4,367,23,4768,0.8846,0.2248,1080,2.9428,2.9428,2.9428,17,12,5.4783,17,1335,7.1184
"3",0,1,173,11,15999,1,0.7543,481,2.7803,2.7803,2.7803,22,10,13.1818,22,616,3.6688
"4",0,4,182,16,9973,1,0.4702,496,2.7253,2.7253,2.7253,19,9,7.5625,19,848,4.0955
"5",0.4,1,154,9,16446,1,0.7754,400,2.5974,2.5974,2.5974,25,12,13.8889,25,459,3.4989
"6",0.4,4,82,11,14849,1,0.7001,205,2.5,2.5,2.5,12,8,7.0909,12,278,4.0144
